index,username,pronoun,ppron,i,we,you,3rdPersonSingular,they,ipron,verb,past,present,future,adverb,prepositions,conjunction,negation,quantifier,number,swear,social,family,friend,humans,affect,posemo,negemo,anxiety,anger,sad,cogmech,insight,cause,discrepancy,tentative,certain,inhibition,include,exclusive,percept,see,hear,feel,bio,body,health,sexual,ingestion,relative,motion,space,time,politic,work,achieve,leisure,home,money,religion,death,assent,wordsgtsix,Extraversion,Aggreeableness,Concientiousness,Opennes,Neuroticism
0,findikfistikoo,0.019,0.005,0.005,0.0,0.0,0.0,0.0,0.019,0.062,0.0,0.0,0.0,0.009000000000000001,0.028,0.033,0.0,0.014,0.005,0.005,0.052000000000000005,0.009000000000000001,0.014,0.0,0.038,0.019,0.019,0.0,0.005,0.005,0.076,0.028,0.009000000000000001,0.009000000000000001,0.005,0.009000000000000001,0.0,0.019,0.0,0.028,0.014,0.009000000000000001,0.009000000000000001,0.019,0.009000000000000001,0.0,0.005,0.005,0.09,0.024,0.024,0.047,0.0,0.019,0.014,0.033,0.0,0.0,0.005,0.005,0.005,0.114,32,19,18,29,24
1,ismailyankayis,0.014,0.008,0.002,0.001,0.003,0.003,0.0,0.014,0.083,0.0,0.0,0.0,0.016,0.029,0.021,0.007,0.018,0.013,0.002,0.049,0.002,0.004,0.016,0.051,0.03,0.019,0.002,0.005,0.009,0.095,0.036,0.011,0.01,0.01,0.008,0.005,0.009,0.008,0.017,0.008,0.005,0.007,0.022,0.01,0.008,0.001,0.004,0.076,0.013,0.03,0.032,0.002,0.016,0.018,0.006,0.001,0.004,0.001,0.002,0.002,0.106,14,22,22,25,21
2,aslhnmrcn,0.032,0.017,0.01,0.001,0.002,0.003,0.0,0.025,0.08199999999999999,0.0,0.0,0.0,0.014,0.028,0.025,0.005,0.017,0.014,0.002,0.035,0.003,0.0,0.009000000000000001,0.044,0.027000000000000003,0.017,0.004,0.004,0.006999999999999999,0.1,0.04,0.013,0.008,0.013,0.012,0.003,0.013,0.008,0.023,0.011,0.004,0.008,0.027000000000000003,0.006,0.005,0.008,0.008,0.054000000000000006,0.013,0.018000000000000002,0.021,0.001,0.012,0.011,0.014,0.002,0.005,0.002,0.003,0.003,0.102,25,19,20,28,13
3,oylebibosluk,0.024,0.016,0.006999999999999999,0.002,0.004,0.002,0.0,0.015,0.092,0.0,0.0,0.0,0.019,0.026000000000000002,0.027000000000000003,0.002,0.022000000000000002,0.013999999999999999,0.001,0.033,0.004,0.003,0.008,0.037000000000000005,0.021,0.015,0.003,0.003,0.006999999999999999,0.102,0.044000000000000004,0.006,0.005,0.016,0.01,0.004,0.013999999999999999,0.009000000000000001,0.02,0.006,0.006,0.009000000000000001,0.023,0.011000000000000001,0.004,0.004,0.004,0.07200000000000001,0.016,0.025,0.027999999999999997,0.0,0.008,0.009000000000000001,0.012,0.004,0.002,0.001,0.002,0.004,0.11,34,26,20,38,22
4,zuhre_piraye,0.042,0.025,0.01,0.004,0.008,0.002,0.0,0.025,0.075,0.0,0.0,0.0,0.002,0.035,0.029,0.0,0.01,0.035,0.0,0.042,0.004,0.0,0.015,0.033,0.023,0.01,0.004,0.004,0.002,0.077,0.033,0.008,0.002,0.002,0.008,0.004,0.012,0.002,0.025,0.01,0.006,0.008,0.027000000000000003,0.017,0.004,0.006,0.01,0.075,0.015,0.033,0.027000000000000003,0.0,0.004,0.01,0.015,0.012,0.002,0.004,0.0,0.004,0.094,24,17,20,26,17
5,handirlimerve,0.031,0.017,0.008,0.001,0.004,0.003,0.0,0.023,0.083,0.0,0.0,0.0,0.017,0.024,0.026000000000000002,0.006,0.02,0.01,0.0,0.04,0.002,0.005,0.009000000000000001,0.042,0.026000000000000002,0.015,0.002,0.004,0.006999999999999999,0.105,0.036000000000000004,0.012,0.009000000000000001,0.015,0.012,0.003,0.008,0.011000000000000001,0.018000000000000002,0.011000000000000001,0.003,0.006999999999999999,0.023,0.013999999999999999,0.005,0.003,0.006,0.062,0.013999999999999999,0.013999999999999999,0.037000000000000005,0.0,0.01,0.012,0.012,0.003,0.002,0.001,0.001,0.006,0.10400000000000001,34,9,22,36,28
6,GulersuSygl,0.025,0.009000000000000001,0.006,0.001,0.001,0.001,0.0,0.019,0.087,0.0,0.0,0.0,0.023,0.027000000000000003,0.022,0.005,0.02,0.015,0.001,0.039,0.004,0.001,0.013,0.032,0.018000000000000002,0.013,0.001,0.004,0.004,0.08800000000000001,0.031,0.011,0.006999999999999999,0.011,0.01,0.005,0.009000000000000001,0.009000000000000001,0.019,0.006999999999999999,0.004,0.006999999999999999,0.022,0.009000000000000001,0.003,0.001,0.012,0.08900000000000001,0.024,0.019,0.051,0.001,0.015,0.013,0.017,0.002,0.001,0.001,0.002,0.005,0.104,29,16,22,27,19
7,eeceuuslu,0.028999999999999998,0.018000000000000002,0.006999999999999999,0.001,0.006999999999999999,0.003,0.0,0.016,0.077,0.0,0.0,0.0,0.017,0.025,0.023,0.004,0.021,0.012,0.003,0.049,0.001,0.004,0.019,0.043,0.019,0.025,0.005,0.01,0.006,0.08900000000000001,0.037000000000000005,0.011000000000000001,0.006,0.013000000000000001,0.006,0.006,0.009000000000000001,0.008,0.018000000000000002,0.008,0.002,0.009000000000000001,0.023,0.008,0.006999999999999999,0.011000000000000001,0.004,0.057999999999999996,0.015,0.02,0.028999999999999998,0.006,0.011000000000000001,0.017,0.008,0.001,0.003,0.003,0.002,0.001,0.107,34,10,17,22,4
8,yilmaz_armagan,0.023,0.009000000000000001,0.003,0.001,0.004,0.001,0.0,0.016,0.083,0.0,0.0,0.0,0.005,0.012,0.016,0.001,0.001,0.003,0.02,0.055,0.011,0.001,0.008,0.05,0.03,0.02,0.003,0.011,0.006999999999999999,0.076,0.028,0.011,0.0,0.006999999999999999,0.011,0.003,0.012,0.003,0.016,0.008,0.005,0.005,0.019,0.009000000000000001,0.003,0.008,0.001,0.07,0.027000000000000003,0.019,0.027000000000000003,0.001,0.014,0.016,0.035,0.003,0.005,0.003,0.001,0.012,0.14300000000000002,18,13,12,26,19
9,TutkuGokdemir,0.031,0.015,0.006999999999999999,0.001,0.005,0.001,0.0,0.02,0.07200000000000001,0.0,0.0,0.0,0.013999999999999999,0.019,0.02,0.004,0.022000000000000002,0.008,0.001,0.044000000000000004,0.002,0.004,0.008,0.055,0.037000000000000005,0.016,0.002,0.01,0.004,0.091,0.027000000000000003,0.009000000000000001,0.003,0.013999999999999999,0.006999999999999999,0.003,0.009000000000000001,0.01,0.015,0.006,0.006999999999999999,0.006,0.019,0.008,0.004,0.004,0.005,0.07400000000000001,0.019,0.019,0.034,0.001,0.013000000000000001,0.016,0.019,0.0,0.01,0.002,0.001,0.005,0.115,32,23,22,26,15
10,Denizzkolayy,0.034,0.022,0.012,0.002,0.002,0.006,0.0,0.017,0.086,0.0,0.0,0.0,0.014,0.019,0.019,0.006,0.009000000000000001,0.01,0.0,0.038,0.003,0.001,0.005,0.037000000000000005,0.021,0.016,0.003,0.006,0.008,0.08,0.023,0.02,0.005,0.005,0.006,0.005,0.01,0.004,0.014,0.005,0.006,0.006,0.022,0.009000000000000001,0.004,0.004,0.006999999999999999,0.084,0.03,0.026,0.03,0.005,0.021,0.022,0.021,0.002,0.004,0.003,0.002,0.004,0.114,22,11,20,25,9
